item_type,item_type_desc,pid,id,city_id,city_name,cover_pic,min_frame_area,max_frame_area,district_name,district,district_id,bizcircle_id,bizcircle_name,build_id,process_status,resblock_frame_area,resblock_frame_area_range,resblock_frame_area_desc,decoration,longitude,latitude,frame_rooms_desc,title,resblock_name,resblock_alias,address,store_addr,avg_unit_price,average_price,address_remark,project_name,special_tags,frame_rooms,converged_rooms,tags,project_tags,house_type,house_type_value,sale_status,has_evaluate,has_vr_aerial,has_vr_house,has_short_video,open_date,has_virtual_view,lowest_total_price,show_price,show_price_unit,show_price_desc,show_price_confirm_time,price_confirm_time,status,subway_distance,is_cooperation,evaluate_status,show_price_info,brand_id,preload_detail_image,reference_avg_price,reference_avg_price_unit,reference_avg_price_desc,reference_total_price,reference_total_price_unit,reference_total_price_desc,new_sale_tags,is_followed,sale_status_color,house_type_color,total_price_start,total_price_start_unit,avg_price_start,avg_price_start_unit,on_time,project_desc,has_car_activity,is_new_sale,first_tags,m_first_tags,fb_expo_id,strategy_info,recommend_log_info,url,special.lianjia_special,special.lianjia_special_comm,special.developer_special,special.developer_special_comm,recommend_reason.type,recommend_reason.name,recommend_reason.details
0,,457274,6612879670029456,460200,三亚市,https://image1.ljcdn.com/newhouse-user-image/fb72f463a844458d63c10e4f985e9a61.jpg,93,113,天涯,天涯,23009061,1100000777,天涯,6612879670029456,3,建面 93-113㎡,93-113㎡,建面,精装修,109.515991,18.290594,2/3居,公园88号,公园88号,公园88号,凤凰路金鸡岭山脉丹州湖畔,金鸡岭路7号（距三亚湾路150米）,0,35000,凤凰路金鸡岭山脉丹州湖畔,gybaalm,[],[],"[{'bedroom_count': '2', 'area_range': '93-94㎡'}, {'bedroom_count': '3', 'area_range': '106-113㎡'}]","['科技住宅', '旅游地产', '现房', '绿化率高']","[{'id': '27', 'desc': '科技住宅', 'color': ''}, {'id': '30', 'desc': '旅游地产', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-04-01,0,0,35000,元/平,均价,20天,2019-10-15 14:56:52,2,,0,0,均价35000元/平,101,"[{'id': 'img_4040870', 'image_id': '4040870', 'type_id': '102100000003', 'type_name': '沙盘', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/d32affa3-6812-4db6-9487-48f96cdf31a7.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/d32affa3-6812-4db6-9487-48f96cdf31a7.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/d32affa3-6812-4db6-9487-48f96cdf31a7.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/d32affa3-6812-4db6-9487-48f96cdf31a7.jpg!m_fill,w_1440,l_rorate_logo'}]",35000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,353,万/套起,37956,元/平起,2018-08-08 17:08:05,地理位置好，背山面湖，公园景观,0,0,[],[],243851849852084233,"{""fb_query_id"":""243851849814335488"",""fb_expo_id"":""243851849852084233"",""fb_item_location"":""9"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""457274""}",,/loupan/p_gybaalm/,[],,[],,4,楼盘亮点,地理位置好，背山面湖，公园景观
0,,457124,6612992084979812,460200,三亚市,https://image1.ljcdn.com/hdic-resblock/609bade4-df55-42f8-ac97-f547cb4f9161.jpg,61,422,天涯,天涯,23009061,1100000777,天涯,6612992084979812,3,建面 61-422㎡,61-422㎡,建面,精装修,109.493697,18.281863,1/3/5居,珠江·俪豪,珠江·俪豪,三亚金水湾,解放路1388号,解放路1388号,40000,45000,解放路1388号,zjhbaafs,[],[],"[{'bedroom_count': '1', 'area_range': '61-62㎡'}, {'bedroom_count': '3', 'area_range': '139㎡'}, {'bedroom_count': '5', 'area_range': '422.59㎡'}]","['小户型', '旅游地产', '近主干道', '现房']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '30', 'desc': '旅游地产', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2017-08-12,0,0,45000,元/平,均价,0天,2019-11-04 17:14:32,2,,2,0,均价45000元/平,101,"[{'id': 'img_4042384', 'image_id': '4042384', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/e2ba6378-9112-40f2-a385-57de2f901abe.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/e2ba6378-9112-40f2-a385-57de2f901abe.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/e2ba6378-9112-40f2-a385-57de2f901abe.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/e2ba6378-9112-40f2-a385-57de2f901abe.jpg!m_fill,w_1440,l_rorate_logo'}]",45000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,283,万/套起,42589,元/平起,2018-08-08 16:59:12,配套成熟，度假元素，岛屿风格,0,0,[],[],243851850804191232,"{""fb_query_id"":""243851850762248192"",""fb_expo_id"":""243851850804191232"",""fb_item_location"":""0"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""457124""}",,/loupan/p_zjhbaafs/,[],,[],,4,楼盘亮点,配套成熟，度假元素，岛屿风格
0,,457142,6612922549711735,460200,三亚市,https://image1.ljcdn.com/hdic-resblock/aa93cbc6-6e16-4577-ae72-d9585d4c34d2.jpg,223,352,天涯,天涯,23009061,1100000777,天涯,6612922549711735,1,建面 223-352㎡,223-352㎡,建面,精装修,109.451767,18.295571,4居,金中海蓝钻,金中海蓝钻,金中海·蓝钻,中海路5号,海坡度假区二线,0,0,中海路5号,jzhlzbaagk,[],[],"[{'bedroom_count': '4', 'area_range': '223.47-352.67㎡'}]","['公交直达', '现房', '绿化率高', '购物方便']","[{'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}]",别墅,107500000004,未开盘,0,0,0,0,2009-10-01,0,0,0,元/平,均价,13天,2019-10-22 15:47:29,2,,0,0,价格待定,101,"[{'id': 'img_4630874', 'image_id': '4630874', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/prod-93534686-a7dd-4bc7-a04a-6447d0576c1bphpClALt4', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/prod-93534686-a7dd-4bc7-a04a-6447d0576c1bphpClALt4!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/prod-93534686-a7dd-4bc7-a04a-6447d0576c1bphpClALt4!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/prod-93534686-a7dd-4bc7-a04a-6447d0576c1bphpClALt4!m_fill,w_1440,l_rorate_logo'}]",0,元/㎡,参考均价,0,万/套,总价,[],0,FC7B75,8FD24E,0,万/套起,0,元/平起,2018-08-08 16:59:33,交通便利，依山傍海，风景秀丽,0,0,"[{'desc': '未开盘', 'color': 'FC7B75', 'text_color': 'FFFFFF'}]",[],243851850804191233,"{""fb_query_id"":""243851850762248192"",""fb_expo_id"":""243851850804191233"",""fb_item_location"":""1"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""457142""}",,/loupan/p_jzhlzbaagk/,[],,[],,4,楼盘亮点,交通便利，依山傍海，风景秀丽
0,,457144,6612922549711735,460200,三亚市,https://image1.ljcdn.com/hdic-resblock/aa93cbc6-6e16-4577-ae72-d9585d4c34d2.jpg,51,80,天涯,天涯,23009061,1100000777,天涯,6612922549711735,1,建面 51-80㎡,51-80㎡,建面,精装修,109.451767,18.295571,0/2居,金中海蓝钻,金中海蓝钻,金中海·蓝钻,中海路5号,海坡渡假区二线,53000,0,中海路5号,jzhlzbaagm,[],[],"[{'bedroom_count': '2', 'area_range': '80㎡'}]","['小户型', '公交直达', '现房', '低密居所']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}]",住宅,107500000003,未开盘,0,0,0,0,2009-10-01,0,0,0,万/套,总价,13天,2019-10-22 15:47:52,2,,0,0,价格待定,101,"[{'id': 'img_4041824', 'image_id': '4041824', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/47f90a89-0b3c-4f32-b424-85476b545057.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/47f90a89-0b3c-4f32-b424-85476b545057.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/47f90a89-0b3c-4f32-b424-85476b545057.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/47f90a89-0b3c-4f32-b424-85476b545057.jpg!m_fill,w_1440,l_rorate_logo'}]",0,元/㎡,参考均价,0,万/套,总价,[],0,FC7B75,FB9252,0,万/套起,0,元/平起,2018-08-08 16:59:37,交通便利，依山傍海，风景秀丽,0,0,"[{'desc': '未开盘', 'color': 'FC7B75', 'text_color': 'FFFFFF'}]",[],243851850804191234,"{""fb_query_id"":""243851850762248192"",""fb_expo_id"":""243851850804191234"",""fb_item_location"":""2"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""457144""}",,/loupan/p_jzhlzbaagm/,[],,[],,4,楼盘亮点,交通便利，依山傍海，风景秀丽
0,,457151,6612882321617264,460200,三亚市,https://image1.ljcdn.com/hdic-resblock/4a70b00d-9123-409e-9bb7-281a84245a7b.jpg,75,139,吉阳,吉阳,23009066,1100000775,吉阳,6612882321617264,3,建面 75-139㎡,75-139㎡,建面,精装修,109.527654,18.308506,2/3居,君和君泰,君和君泰,君和君泰二期,落笔洞路53号（琼州学院西侧）,吉阳区落笔洞路53号（琼州学院西侧）,0,31000,落笔洞路53号（琼州学院西侧）,jhjtbaagt,[],[],"[{'bedroom_count': '2', 'area_range': '75㎡'}]","['小户型', '现房', '绿化率高', '购物方便']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2017-12-99,0,0,31000,元/平,均价,10天,2019-10-25 14:54:10,2,,0,0,均价31000元/平,101,"[{'id': 'img_4041007', 'image_id': '4041007', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/b0596b09-84d4-4ce5-8735-0d0f8db12b53.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/b0596b09-84d4-4ce5-8735-0d0f8db12b53.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/b0596b09-84d4-4ce5-8735-0d0f8db12b53.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/b0596b09-84d4-4ce5-8735-0d0f8db12b53.jpg!m_fill,w_1440,l_rorate_logo'}]",31000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,203,万/套起,27066,元/平起,2018-08-08 17:00:38,社区园林设计舒适，居住舒适,0,0,[],[],243851850804191235,"{""fb_query_id"":""243851850762248192"",""fb_expo_id"":""243851850804191235"",""fb_item_location"":""3"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""457151""}",,/loupan/p_jhjtbaagt/,[],,[],,4,楼盘亮点,社区园林设计舒适，居住舒适
0,,457166,6612966773927152,460200,三亚市,https://image1.ljcdn.com/hdic-resblock/ca57e93e-dcd8-419c-8db0-30da6074fa43.jpg,480,885,海棠,海棠,23009065,1100000776,海棠,6612966773927152,3,建面 480-885㎡,480-885㎡,建面,精装修,109.743794,18.349411,4/5/6居,君御,君御,三亚海棠湾君悦酒店项目,海棠北路68号,海棠湾区海棠北路68号君悦酒店9号别墅,0,0,海棠北路68号,jybaahi,[],[],"[{'bedroom_count': '4', 'area_range': '480㎡'}, {'bedroom_count': '5', 'area_range': '578.6-710.4㎡'}, {'bedroom_count': '6', 'area_range': '728.7-885.9㎡'}]","['现房', '低密居所']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}]",别墅,107500000004,在售,0,0,0,0,2016-10-99,0,58000000,5800,万/套,总价,24天,2019-10-11 16:55:54,2,,0,0,总价5800万/套,101,"[{'id': 'img_4042240', 'image_id': '4042240', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/c0fc2737-ee19-4fbe-a50a-604c063cd569.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/c0fc2737-ee19-4fbe-a50a-604c063cd569.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/c0fc2737-ee19-4fbe-a50a-604c063cd569.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/c0fc2737-ee19-4fbe-a50a-604c063cd569.jpg!m_fill,w_1440,l_rorate_logo'}]",0,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,8FD24E,5800,万/套起,79593,元/平起,2018-08-08 17:04:07,酒店服务，体验度假生活,0,0,[],[],243851850804191236,"{""fb_query_id"":""243851850762248192"",""fb_expo_id"":""243851850804191236"",""fb_item_location"":""4"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""457166""}",,/loupan/p_jybaahi/,[],,[],,4,楼盘亮点,酒店服务，体验度假生活
0,,457167,6612901418546097,460200,三亚市,https://image1.ljcdn.com/hdic-resblock/7196de44-4951-428e-85f4-7bdcbc41f5e6.jpg,65,110,吉阳,吉阳,23009066,1100000775,吉阳,6612901418546097,3,建面 65-110㎡,65-110㎡,建面,精装修,109.471211,18.325119,2/3居,凤凰华庭,凤凰华庭,,凤凰路槟榔河旅游度假区内进1000米,凤凰路海航学院旁,0,25000,凤凰路槟榔河旅游度假区内进1000米,fhhtbaahj,[],[],"[{'bedroom_count': '2', 'area_range': '65-74㎡'}]","['小户型', '现房', '绿化率高']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2017-10-01,0,0,25000,元/平,均价,46天,2019-09-19 16:09:08,2,,0,0,均价25000元/平,101,"[{'id': 'img_4041190', 'image_id': '4041190', 'type_id': '102100000003', 'type_name': '沙盘', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/de279e60-ed18-4d7d-854c-93e79a073175.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/de279e60-ed18-4d7d-854c-93e79a073175.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/de279e60-ed18-4d7d-854c-93e79a073175.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/de279e60-ed18-4d7d-854c-93e79a073175.jpg!m_fill,w_1440,l_rorate_logo'}]",25000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,161,万/套起,24769,元/平起,2018-08-08 17:04:19,配套服务齐全，适宜度假,0,0,[],[],243851850804191237,"{""fb_query_id"":""243851850762248192"",""fb_expo_id"":""243851850804191237"",""fb_item_location"":""5"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""457167""}",,/loupan/p_fhhtbaahj/,[],,[],,4,楼盘亮点,配套服务齐全，适宜度假
0,,457190,6612857852572489,460200,三亚市,https://image1.ljcdn.com/newhouse-user-image/43ecd9ba56f61120869898567f364b39.jpg,87,88,吉阳,吉阳,23009066,1100000775,吉阳,6612857852572489,3,建面 87-88㎡,87-88㎡,建面,精装修,109.578782,18.266907,2/3居,绿地·悦澜湾,绿地·悦澜湾,红沙棕榈滩绿地（悦澜湾）,榆亚大道680号,榆亚大道680号,32000,27000,榆亚大道680号,ldlwbaaig,[],[],"[{'bedroom_count': '2', 'area_range': '87.11㎡'}, {'bedroom_count': '3', 'area_range': '88.11㎡'}]","['品牌房企', '旅游地产', '公交直达', '近主干道']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '30', 'desc': '旅游地产', 'color': ''}, {'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-12-18,0,0,27000,元/平,均价,3天,2019-11-01 17:18:54,2,,2,0,均价27000元/平,5,"[{'id': 'img_4640964', 'image_id': '4640964', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/43ecd9ba56f61120869898567f364b39.jpg', 'title': '', 'desc': '位于三亚榆林湾，交通便利，风景优美', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/43ecd9ba56f61120869898567f364b39.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/43ecd9ba56f61120869898567f364b39.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/43ecd9ba56f61120869898567f364b39.jpg!m_fill,w_1440,l_rorate_logo'}]",27000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,236,万/套起,27011,元/平起,2018-08-08 17:05:30,热带滨海度假，生活设施配套齐全,0,0,[],[],243851850804191238,"{""fb_query_id"":""243851850762248192"",""fb_expo_id"":""243851850804191238"",""fb_item_location"":""6"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""457190""}",,/loupan/p_ldlwbaaig/,[],,[],,4,楼盘亮点,热带滨海度假，生活设施配套齐全
0,,457271,6612633479066120,460200,三亚市,https://image1.ljcdn.com/hdic-resblock/d3929e76-6243-47a2-90bb-c86d51e6c1a5.jpg,63,90,吉阳,吉阳,23009066,1100000775,吉阳,6612633479066120,3,建面 63-90㎡,63-90㎡,建面,毛坯,109.555103,18.344634,1/2/4居,万科森林度假公园,万科森林度假公园,砚溪湖首区,学院路181号,迎宾大道学院路落笔洞风景区,37000,25000,学院路181号,wksldjgybaalj,[],[],"[{'bedroom_count': '2', 'area_range': '90㎡'}, {'bedroom_count': '4', 'area_range': '76㎡'}]","['品牌房企', '小户型', '现房', '低密居所']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '14', 'desc': '小户型', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2016-01-11,0,2700000,270,万/套,总价,10天,2019-10-25 14:32:54,2,,2,0,总价270万/套,2,"[{'id': 'img_4039910', 'image_id': '4039910', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/5db4e735-427f-40e2-87d6-be70266e854c.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/5db4e735-427f-40e2-87d6-be70266e854c.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/5db4e735-427f-40e2-87d6-be70266e854c.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/5db4e735-427f-40e2-87d6-be70266e854c.jpg!m_fill,w_1440,l_rorate_logo'}]",25000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,0,万/套起,0,元/平起,2018-08-08 17:07:24,生态宜居，度假资源丰富,0,0,[],[],243851850804191239,"{""fb_query_id"":""243851850762248192"",""fb_expo_id"":""243851850804191239"",""fb_item_location"":""7"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""457271""}",,/loupan/p_wksldjgybaalj/,[],,[],,4,楼盘亮点,生态宜居，度假资源丰富
0,,457272,6612850929087212,460200,三亚市,https://image1.ljcdn.com/hdic-resblock/c3af954e-f373-489a-a9b7-bff143334c1d.jpg,166,293,吉阳,吉阳,23009066,1100000775,吉阳,6612850929087212,3,建面 166-293㎡,166-293㎡,建面,精装修,109.493884,18.21709,3/4/5居,复地·鹿岛,复地·鹿岛,鹿回头半岛B7-1地块居住项目,鹿回头开发区半山半岛帆船港,鹿回头开发区半山半岛帆船港,0,60000,鹿回头开发区半山半岛帆船港,fddbaalk,[],[],"[{'bedroom_count': '4', 'area_range': '213㎡'}, {'bedroom_count': '5', 'area_range': '293㎡'}]","['旅游地产', '现房', '绿化率高', '购物方便']","[{'id': '30', 'desc': '旅游地产', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2016-02-05,0,0,60000,元/平,均价,3天,2019-11-01 11:24:46,2,,0,0,均价60000元/平,101,"[{'id': 'img_4040262', 'image_id': '4040262', 'type_id': '102100000003', 'type_name': '沙盘', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/c3af954e-f373-489a-a9b7-bff143334c1d.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/c3af954e-f373-489a-a9b7-bff143334c1d.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/c3af954e-f373-489a-a9b7-bff143334c1d.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/c3af954e-f373-489a-a9b7-bff143334c1d.jpg!m_fill,w_1440,l_rorate_logo'}]",60000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,1270,万/套起,59590,元/平起,2018-08-08 17:07:36,配套完善，环境良好，交通便利,0,0,[],[],243851850804191240,"{""fb_query_id"":""243851850762248192"",""fb_expo_id"":""243851850804191240"",""fb_item_location"":""8"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""457272""}",,/loupan/p_fddbaalk/,[],,[],,4,楼盘亮点,配套完善，环境良好，交通便利
0,,457274,6612879670029456,460200,三亚市,https://image1.ljcdn.com/newhouse-user-image/fb72f463a844458d63c10e4f985e9a61.jpg,93,113,天涯,天涯,23009061,1100000777,天涯,6612879670029456,3,建面 93-113㎡,93-113㎡,建面,精装修,109.515991,18.290594,2/3居,公园88号,公园88号,公园88号,凤凰路金鸡岭山脉丹州湖畔,金鸡岭路7号（距三亚湾路150米）,0,35000,凤凰路金鸡岭山脉丹州湖畔,gybaalm,[],[],"[{'bedroom_count': '2', 'area_range': '93-94㎡'}, {'bedroom_count': '3', 'area_range': '106-113㎡'}]","['科技住宅', '旅游地产', '现房', '绿化率高']","[{'id': '27', 'desc': '科技住宅', 'color': ''}, {'id': '30', 'desc': '旅游地产', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-04-01,0,0,35000,元/平,均价,20天,2019-10-15 14:56:52,2,,0,0,均价35000元/平,101,"[{'id': 'img_4040870', 'image_id': '4040870', 'type_id': '102100000003', 'type_name': '沙盘', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/d32affa3-6812-4db6-9487-48f96cdf31a7.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/d32affa3-6812-4db6-9487-48f96cdf31a7.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/d32affa3-6812-4db6-9487-48f96cdf31a7.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/d32affa3-6812-4db6-9487-48f96cdf31a7.jpg!m_fill,w_1440,l_rorate_logo'}]",35000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,353,万/套起,37956,元/平起,2018-08-08 17:08:05,地理位置好，背山面湖，公园景观,0,0,[],[],243851850804191241,"{""fb_query_id"":""243851850762248192"",""fb_expo_id"":""243851850804191241"",""fb_item_location"":""9"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""457274""}",,/loupan/p_gybaalm/,[],,[],,4,楼盘亮点,地理位置好，背山面湖，公园景观
