item_type,item_type_desc,pid,id,city_id,city_name,cover_pic,min_frame_area,max_frame_area,district_name,district,district_id,bizcircle_id,bizcircle_name,build_id,process_status,resblock_frame_area,resblock_frame_area_range,resblock_frame_area_desc,decoration,longitude,latitude,frame_rooms_desc,title,resblock_name,resblock_alias,address,store_addr,avg_unit_price,average_price,address_remark,project_name,special_tags,frame_rooms,converged_rooms,tags,project_tags,house_type,house_type_value,sale_status,has_evaluate,has_vr_aerial,has_vr_house,has_short_video,open_date,has_virtual_view,lowest_total_price,show_price,show_price_unit,show_price_desc,show_price_confirm_time,price_confirm_time,status,subway_distance,is_cooperation,evaluate_status,show_price_info,brand_id,preload_detail_image,reference_avg_price,reference_avg_price_unit,reference_avg_price_desc,reference_total_price,reference_total_price_unit,reference_total_price_desc,new_sale_tags,is_followed,sale_status_color,house_type_color,total_price_start,total_price_start_unit,avg_price_start,avg_price_start_unit,on_time,project_desc,has_car_activity,is_new_sale,first_tags,m_first_tags,fb_expo_id,strategy_info,recommend_log_info,url,special.lianjia_special,special.lianjia_special_comm,special.developer_special,special.developer_special_comm,recommend_reason.type,recommend_reason.name,recommend_reason.details
0,,100712,3520032252643503,430100,长沙市,https://image1.ljcdn.com/hdic-resblock/d9fc826c-026d-4e36-bdf1-67438b9b51f1.jpg,36,44,雨花,雨花,23008764,611101163,韶山南路,3520032252643503,3,建面 36-44㎡,36-44㎡,建面,毛坯,113.010809,28.147227,1居,华润翡翠府,华润翡翠府,华润铂悦公寓,香樟路与曙光路交汇处西北角,香樟路与曙光路交汇处西北角,0,14000,香樟路与曙光路交汇处西北角,hrfcfafszo,[],[],"[{'bedroom_count': '1', 'area_range': '36-44㎡'}]","['品牌房企', '小户型', '地铁沿线', '环线房']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '14', 'desc': '小户型', 'color': ''}, {'id': '1', 'desc': '地铁沿线', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}]",商业类,107500000010,在售,0,0,0,0,2018-12-01,0,630000,14000,元/平,均价,215天,2019-04-03 17:04:13,2,距1号线铁道学院站2742米,2,0,均价14000元/平,11,"[{'id': 'img_3653469', 'image_id': '3653469', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/04d1925a-d7a6-41f8-9309-8da5ac8be6ed.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/04d1925a-d7a6-41f8-9309-8da5ac8be6ed.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/04d1925a-d7a6-41f8-9309-8da5ac8be6ed.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/04d1925a-d7a6-41f8-9309-8da5ac8be6ed.jpg!m_fill,w_1440,l_rorate_logo'}]",14000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,B199FF,50.4,万/套起,14000,元/平起,2018-07-06 16:53:47,红星国际大酒店附近小户型公寓,0,0,[],[],243850016312688649,"{""fb_query_id"":""243850016253968384"",""fb_expo_id"":""243850016312688649"",""fb_item_location"":""9"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""100712""}",,/loupan/p_hrfcfafszo/,[],,[],,4,楼盘亮点,红星国际大酒店附近小户型公寓
0,,100308,3515827001969215,430100,长沙市,https://image1.ljcdn.com/newhouse-user-image/9b632f29d1824d46587da399841da3f9.jpg,0,0,雨花,雨花,23008764,611100651,跳马,3515827001969215,3,,,建面,毛坯,113.037294,28.076079,,中南国际眼镜城,中南国际眼镜城,中伟商业中心,万家丽南路与振华路交汇处,万家丽南路与振华路交汇处,0,30000,万家丽南路与振华路交汇处,zngjyjcafska,[],[],[],"['公交直达', '环线房', '现房', '人车分流']","[{'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '52', 'desc': '人车分流', 'color': ''}]",底商,107500000016,在售,0,0,0,0,2017-09-03,0,1200000,30000,元/平,均价,180天,2019-05-08 17:19:40,2,,0,0,均价30000元/平,101,"[{'id': 'img_3649884', 'image_id': '3649884', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/e06cbdac-bbf5-4ce0-9c58-8413512bbfcc.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/e06cbdac-bbf5-4ce0-9c58-8413512bbfcc.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/e06cbdac-bbf5-4ce0-9c58-8413512bbfcc.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/e06cbdac-bbf5-4ce0-9c58-8413512bbfcc.jpg!m_fill,w_1440,l_rorate_logo'}]",30000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,DAAC24,0,万/套起,0,元/平起,2018-06-08 14:12:17,毛坯商铺直接认购,0,0,[],[],243850017227063296,"{""fb_query_id"":""243850017180925952"",""fb_expo_id"":""243850017227063296"",""fb_item_location"":""0"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""100308""}",,/loupan/p_zngjyjcafska/,[],,[],,4,楼盘亮点,毛坯商铺直接认购
0,,100347,3515827001969215,430100,长沙市,https://image1.ljcdn.com/hdic-resblock/420ee2e7-9a21-427a-a22a-0170f1ef60a3.jpg,0,0,雨花,雨花,23008764,611100651,跳马,3515827001969215,3,,,建面,毛坯,113.037294,28.076079,,中南国际眼镜城,中南国际眼镜城,中伟商业中心,万家丽南路与振华路交汇处,万家丽南路与振华路交汇处,0,30000,万家丽南路与振华路交汇处,zngjyjcafsln,[],[],[],"['公交直达', '环线房', '现房', '人车分流']","[{'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '52', 'desc': '人车分流', 'color': ''}]",商业,107500000007,在售,0,0,0,0,2018-06-10,0,1200000,30000,元/平,均价,180天,2019-05-08 17:19:46,2,,0,0,均价30000元/平,101,"[{'id': 'img_3649885', 'image_id': '3649885', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/188e2232-4b44-4934-8dd0-6b79b2d14f65.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/188e2232-4b44-4934-8dd0-6b79b2d14f65.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/188e2232-4b44-4934-8dd0-6b79b2d14f65.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/188e2232-4b44-4934-8dd0-6b79b2d14f65.jpg!m_fill,w_1440,l_rorate_logo'}]",30000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,B199FF,0,万/套起,0,元/平起,2018-06-12 13:27:33,毛坯商铺直接认购,0,0,[],[],243850017227063297,"{""fb_query_id"":""243850017180925952"",""fb_expo_id"":""243850017227063297"",""fb_item_location"":""1"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""100347""}",,/loupan/p_zngjyjcafsln/,[],,[],,4,楼盘亮点,毛坯商铺直接认购
0,,100450,3520031953593631,430100,长沙市,https://image1.ljcdn.com/hdic-resblock/2086133b-3033-49fc-8017-8feac5760257.jpg,41,120,芙蓉,芙蓉,23008767,613000745,汽车东站,3520031953593631,3,建面 41-120㎡,41-120㎡,建面,毛坯,113.076835,28.193982,1居,中交牛津街,中交牛津街,中房瑞致小区,人民路中交牛津街,长沙市芙蓉区人民路与望龙路交汇处中交D4区（距望龙村公交站300米）,0,17000,人民路中交牛津街,zjnjjafspm,[],[],"[{'bedroom_count': '1', 'area_range': '41.79-120㎡'}]","['小户型', '公交直达', '环线房', '现房']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}]",商业,107500000007,在售,0,0,0,0,2017-07-30,0,550000,17000,元/平,均价,12天,2019-10-23 11:10:31,2,,2,0,均价17000元/平,101,"[{'id': 'img_4935902', 'image_id': '4935902', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/d60c6e0daeae4d908d5d5833d795aa74.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/d60c6e0daeae4d908d5d5833d795aa74.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/d60c6e0daeae4d908d5d5833d795aa74.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/d60c6e0daeae4d908d5d5833d795aa74.jpg!m_fill,w_1440,l_rorate_logo'}]",17000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,B199FF,0,万/套起,0,元/平起,2018-06-19 10:08:20,大客流临街现铺,0,0,[],[],243850017227063298,"{""fb_query_id"":""243850017180925952"",""fb_expo_id"":""243850017227063298"",""fb_item_location"":""2"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""100450""}",,/loupan/p_zjnjjafspm/,[],,[],,4,楼盘亮点,大客流临街现铺
0,,100472,3520031953594457,430100,长沙市,https://image1.ljcdn.com/newhouse-user-image/e82699f8ec210322200ba58e55fd588c.jpg,114,200,岳麓,岳麓,23008766,611101140,梅溪湖南岸,3520031953594457,1,建面 114-200㎡,114-200㎡,建面,精装修,112.911102,28.19345,3/4居,中海熙湾,中海熙湾,梅溪湖壹号,梅溪湖路中海熙湾,梅溪湖南岸环湖路与景观绿轴交汇处西北角,0,18000,梅溪湖路中海熙湾,zhxwafsqi,[],[],"[{'bedroom_count': '4', 'area_range': '200㎡'}]","['品牌房企', '私属庭院', '地铁沿线', '公交直达']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '35', 'desc': '私属庭院', 'color': ''}, {'id': '1', 'desc': '地铁沿线', 'color': ''}, {'id': '2', 'desc': '公交直达', 'color': ''}]",住宅,107500000003,未开盘,0,0,0,0,2018-11-17,0,1540000,18000,元/平,均价,55天,2019-09-10 17:43:32,2,距2号线梅溪湖东站1955米,0,0,均价18000元/平,6,"[{'id': 'img_3652678', 'image_id': '3652678', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/29adb5e1-9ca0-4f4c-b425-f97521e8c0e9.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/29adb5e1-9ca0-4f4c-b425-f97521e8c0e9.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/29adb5e1-9ca0-4f4c-b425-f97521e8c0e9.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/29adb5e1-9ca0-4f4c-b425-f97521e8c0e9.jpg!m_fill,w_1440,l_rorate_logo'}]",18000,元/㎡,参考均价,0,万/套,总价,[],0,FC7B75,FB9252,205.2,万/套起,18000,元/平起,2018-06-19 16:23:35,梅溪湖带装修改善房,0,0,"[{'desc': '未开盘', 'color': 'FC7B75', 'text_color': 'FFFFFF'}]",[],243850017227063299,"{""fb_query_id"":""243850017180925952"",""fb_expo_id"":""243850017227063299"",""fb_item_location"":""3"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""100472""}",,/loupan/p_zhxwafsqi/,[],,[],,4,楼盘亮点,梅溪湖带装修改善房
0,,100523,3520028220173275,430100,长沙市,https://image1.ljcdn.com/hdic-resblock/230ca61b-c321-4db2-b898-7cd83dc55969.jpg,110,165,天心,天心,23008765,611101159,黄土岭,3520028220173275,3,建面 110-165㎡,110-165㎡,建面,精装修,112.977381,28.165432,3/4居,君合天玺,君合天玺,君合天玺,书院路与都江路交汇处西南角,书院路与都江路交汇处西南角,0,14000,书院路与都江路交汇处西南角,jhtxafssh,[],[],"[{'bedroom_count': '3', 'area_range': '110㎡'}, {'bedroom_count': '4', 'area_range': '142-165㎡'}]","['公交直达', '环线房', '绿化率高', '小型社区']","[{'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '22', 'desc': '小型社区', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-06-99,0,1485000,14000,元/平,均价,173天,2019-05-15 17:58:06,2,,2,0,均价14000元/平,101,"[{'id': 'img_3652067', 'image_id': '3652067', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/5644bbfc-b6d9-4f0b-859c-cf7a70f88268.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/5644bbfc-b6d9-4f0b-859c-cf7a70f88268.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/5644bbfc-b6d9-4f0b-859c-cf7a70f88268.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/5644bbfc-b6d9-4f0b-859c-cf7a70f88268.jpg!m_fill,w_1440,l_rorate_logo'}]",14000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,148.5,万/套起,13496,元/平起,2018-06-21 09:23:11,沿江带装修改善住宅,0,0,[],[],243850017227063300,"{""fb_query_id"":""243850017180925952"",""fb_expo_id"":""243850017227063300"",""fb_item_location"":""4"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""100523""}",,/loupan/p_jhtxafssh/,[],,[],,4,楼盘亮点,沿江带装修改善住宅
0,,100525,3520032079495324,430100,长沙市,https://image1.ljcdn.com/hdic-resblock/e26b0ab0-4617-4f03-953f-2ed824da58d9.jpg,115,144,开福,开福,23008768,611101113,金霞,3520032079495324,3,建面 115-144㎡,115-144㎡,建面,精装修,112.962336,28.322751,3/4居,新城和樾,新城和樾,新城和樾公馆,芙蓉北路与高冲路交汇处东南角,开福区芙蓉北路与高冲路交汇处东南角,0,9300,芙蓉北路与高冲路交汇处东南角,xchyafssj,[],[],"[{'bedroom_count': '4', 'area_range': '144㎡'}]","['环线房', '近主干道', '车位充足', '绿化率高']","[{'id': '23', 'desc': '环线房', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}, {'id': '3', 'desc': '车位充足', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-06-12,0,1100000,9300,元/平,均价,12天,2019-10-23 19:19:02,2,,0,0,均价9300元/平,101,"[{'id': 'img_4642450', 'image_id': '4642450', 'type_id': '102100000003', 'type_name': '沙盘', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/422a65974a1aa5b09f06876cb14aea81.png', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/422a65974a1aa5b09f06876cb14aea81.png!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/422a65974a1aa5b09f06876cb14aea81.png!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/422a65974a1aa5b09f06876cb14aea81.png!m_fill,w_1440,l_rorate_logo'}]",9300,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,134,万/套起,9305,元/平起,2018-06-21 09:35:36,好物业带装修宜居改善房,0,0,[],[],243850017227063301,"{""fb_query_id"":""243850017180925952"",""fb_expo_id"":""243850017227063301"",""fb_item_location"":""5"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""100525""}",,/loupan/p_xchyafssj/,[],,[],,4,楼盘亮点,好物业带装修宜居改善房
0,,100530,3515825007029409,430100,长沙市,https://image1.ljcdn.com/newhouse-user-image/bc9391aa9d1fd65a0579bf2cd5acd15f.jpg,40,172,开福,开福,23008768,611101119,北辰三角洲,3515825007029409,3,建面 40-172㎡,40-172㎡,建面,毛坯,112.993168,28.234432,1/2/3居,君悦新天地,君悦新天地,君悦新天地,湘江北路与凤舞路交汇处（北辰三角洲长雅中学东侧）,湘江北路与凤嘴路交汇处（北辰三角洲长雅中学东侧）,0,17000,湘江北路与凤舞路交汇处（北辰三角洲长雅中学东侧）,jyxtdafsso,[],[],"[{'bedroom_count': '1', 'area_range': '40-80㎡'}, {'bedroom_count': '2', 'area_range': '86㎡'}, {'bedroom_count': '3', 'area_range': '172㎡'}]","['小户型', '环线房', '近主干道', '购物方便']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}]",商业类,107500000010,在售,0,0,0,0,2018-07-07,0,580000,17000,元/平,均价,12天,2019-10-23 20:06:54,2,,0,0,均价17000元/平,101,"[{'id': 'img_4665524', 'image_id': '4665524', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/a7421eb6130ba89ec87ad26fca64f616.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/a7421eb6130ba89ec87ad26fca64f616.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/a7421eb6130ba89ec87ad26fca64f616.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/a7421eb6130ba89ec87ad26fca64f616.jpg!m_fill,w_1440,l_rorate_logo'}]",17000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,B199FF,65,万/套起,12209,元/平起,2018-06-21 11:40:21,二环内邻湘江邻地铁,0,0,[],[],243850017227063302,"{""fb_query_id"":""243850017180925952"",""fb_expo_id"":""243850017227063302"",""fb_item_location"":""6"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""100530""}",,/loupan/p_jyxtdafsso/,[],,[],,4,楼盘亮点,二环内邻湘江邻地铁
0,,100576,3520032055375463,430100,长沙市,https://image1.ljcdn.com/hdic-resblock/b05e8021-7e4c-422c-862a-c106ac5c2e0d.jpg,39,41,雨花,雨花,23008764,611101151,高桥,3520032055375463,3,建面 39-41㎡,39-41㎡,建面,毛坯,113.026477,28.173508,1居,正荣悦玺,正荣悦玺,,东二环与石坝路口交汇处东南角,东二环与石坝路口交汇处东南角,0,12000,东二环与石坝路口交汇处东南角,zryxafsui,[],[],"[{'bedroom_count': '1', 'area_range': '39.06-41.69㎡'}]","['小户型', 'loft', '环线房', '近主干道']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '15', 'desc': 'loft', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}]",商业类,107500000010,在售,0,0,0,0,2018-07-01,0,585900,12000,元/平,均价,171天,2019-05-17 17:35:27,2,,0,0,均价12000元/平,101,"[{'id': 'img_3652841', 'image_id': '3652841', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/aea26003-3e62-46de-b318-ab95f198f9d9.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/aea26003-3e62-46de-b318-ab95f198f9d9.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/aea26003-3e62-46de-b318-ab95f198f9d9.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/aea26003-3e62-46de-b318-ab95f198f9d9.jpg!m_fill,w_1440,l_rorate_logo'}]",12000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,B199FF,58.59,万/套起,15000,元/平起,2018-07-02 19:03:36,高桥商圈复式公寓,0,0,[],[],243850017227063303,"{""fb_query_id"":""243850017180925952"",""fb_expo_id"":""243850017227063303"",""fb_item_location"":""7"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""100576""}",,/loupan/p_zryxafsui/,[],,[],,4,楼盘亮点,高桥商圈复式公寓
0,,100626,3520032135132847,430100,长沙市,https://image1.ljcdn.com/newhouse-user-image/0a4d618a6b82f0cd58889b155cb534e7.png,86,112,芙蓉,芙蓉,23008767,613000745,汽车东站,3520032135132847,3,建面 86-112㎡,86-112㎡,建面,精装修,113.072904,28.199577,2/3居,鑫苑芙蓉鑫家,鑫苑芙蓉鑫家,鑫苑芙蓉鑫家,人民东路108号,芙蓉区人民东路东驿公园旁,0,9800,人民东路108号,xyfrxjafswg,[],[],"[{'bedroom_count': '2', 'area_range': '86.66㎡'}, {'bedroom_count': '3', 'area_range': '112.48㎡'}]","['环线房', '近主干道', '绿化率高', '小型社区']","[{'id': '23', 'desc': '环线房', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '22', 'desc': '小型社区', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-07-15,0,862000,9800,元/平,均价,12天,2019-10-23 11:06:28,2,,0,0,均价9800元/平,101,"[{'id': 'img_4381837', 'image_id': '4381837', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/prod-3ee16a0d-cf21-4ca8-ae66-953711fe6840php9gWlez', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/prod-3ee16a0d-cf21-4ca8-ae66-953711fe6840php9gWlez!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/prod-3ee16a0d-cf21-4ca8-ae66-953711fe6840php9gWlez!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/prod-3ee16a0d-cf21-4ca8-ae66-953711fe6840php9gWlez!m_fill,w_1440,l_rorate_logo'}]",9800,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,86,万/套起,9690,元/平起,2018-06-25 10:11:04,二环至三环非毛坯住宅,0,0,[],[],243850017227063304,"{""fb_query_id"":""243850017180925952"",""fb_expo_id"":""243850017227063304"",""fb_item_location"":""8"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""100626""}",,/loupan/p_xyfrxjafswg/,[],,[],,4,楼盘亮点,二环至三环非毛坯住宅
0,,100712,3520032252643503,430100,长沙市,https://image1.ljcdn.com/hdic-resblock/d9fc826c-026d-4e36-bdf1-67438b9b51f1.jpg,36,44,雨花,雨花,23008764,611101163,韶山南路,3520032252643503,3,建面 36-44㎡,36-44㎡,建面,毛坯,113.010809,28.147227,1居,华润翡翠府,华润翡翠府,华润铂悦公寓,香樟路与曙光路交汇处西北角,香樟路与曙光路交汇处西北角,0,14000,香樟路与曙光路交汇处西北角,hrfcfafszo,[],[],"[{'bedroom_count': '1', 'area_range': '36-44㎡'}]","['品牌房企', '小户型', '地铁沿线', '环线房']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '14', 'desc': '小户型', 'color': ''}, {'id': '1', 'desc': '地铁沿线', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}]",商业类,107500000010,在售,0,0,0,0,2018-12-01,0,630000,14000,元/平,均价,215天,2019-04-03 17:04:13,2,距1号线铁道学院站2742米,2,0,均价14000元/平,11,"[{'id': 'img_3653469', 'image_id': '3653469', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/04d1925a-d7a6-41f8-9309-8da5ac8be6ed.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/04d1925a-d7a6-41f8-9309-8da5ac8be6ed.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/04d1925a-d7a6-41f8-9309-8da5ac8be6ed.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/04d1925a-d7a6-41f8-9309-8da5ac8be6ed.jpg!m_fill,w_1440,l_rorate_logo'}]",14000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,B199FF,50.4,万/套起,14000,元/平起,2018-07-06 16:53:47,红星国际大酒店附近小户型公寓,0,0,[],[],243850017227063305,"{""fb_query_id"":""243850017180925952"",""fb_expo_id"":""243850017227063305"",""fb_item_location"":""9"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""100712""}",,/loupan/p_hrfcfafszo/,[],,[],,4,楼盘亮点,红星国际大酒店附近小户型公寓
